n,time
48,6.000000
96,35.000000
144,56.000000
192,113.000000
240,170.000000
288,230.000000
336,318.000000
384,424.000000
432,583.000000
480,737.000000
528,1094.000000
576,1331.000000
624,1495.000000
672,1667.000000
720,1956.000000
768,2200.000000
816,2474.000000
864,3123.000000
912,3615.000000
960,3660.000000
1008,4467.000000
1056,5140.000000
1104,5860.000000
1152,6434.000000
1200,6124.000000
1248,6941.000000
1296,8046.000000
1344,8503.000000
1392,9197.000000
1440,9728.000000
1488,10866.000000
1536,11733.000000
1584,12383.000000
1632,13516.000000
1680,14559.000000
1728,16945.000000
1776,18151.000000
1824,30201.000000
1872,26713.000000
1920,27321.000000
1968,26197.000000
2016,23915.000000
2064,22728.000000
2112,24100.000000
2160,26860.000000
2208,32096.000000
2256,51733.000000
2304,45174.000000
2352,34917.000000
2400,39849.000000
2448,50804.000000
2496,54569.000000
2544,51075.000000
2592,37802.000000
2640,44280.000000
2688,47377.000000
2736,42864.000000
2784,46412.000000
2832,47592.000000
2880,49199.000000
2928,74837.000000
2976,72732.000000
3024,69614.000000
3072,65435.000000
3120,70574.000000
3168,82321.000000
3216,115328.000000
3264,69963.000000
3312,68425.000000
3360,73827.000000
3408,72780.000000
3456,73731.000000
3504,77955.000000
3552,79321.000000
3600,84537.000000
3648,85789.000000
3696,89875.000000
3744,93694.000000
3792,96513.000000
3840,99822.000000
3888,101377.000000
3936,108126.000000
3984,107748.000000
4032,119961.000000
4080,117756.000000
4128,118389.000000
4176,122703.000000
4224,138380.000000
4272,130220.000000
4320,135716.000000
4368,154580.000000
4416,187496.000000
4464,154511.000000
4512,172000.000000
4560,154962.000000
4608,187641.000000
4656,235599.000000
4704,170512.000000
4752,177252.000000
