n,time
48,0.000000
96,0.000000
144,0.000000
192,0.000000
240,1.000000
288,1.000000
336,1.000000
384,2.000000
432,2.000000
480,2.000000
528,2.000000
576,2.000000
624,3.000000
672,4.000000
720,7.000000
768,4.000000
816,5.000000
864,6.000000
912,6.000000
960,5.000000
1008,9.000000
1056,9.000000
1104,5.000000
1152,8.000000
1200,6.000000
1248,7.000000
1296,9.000000
1344,14.000000
1392,11.000000
1440,7.000000
1488,19.000000
1536,7.000000
1584,8.000000
1632,10.000000
1680,8.000000
1728,15.000000
1776,9.000000
1824,9.000000
1872,16.000000
1920,12.000000
1968,13.000000
2016,12.000000
2064,11.000000
2112,10.000000
2160,12.000000
2208,11.000000
2256,12.000000
2304,15.000000
2352,21.000000
2400,25.000000
2448,15.000000
2496,14.000000
2544,14.000000
2592,16.000000
2640,15.000000
2688,16.000000
2736,14.000000
2784,17.000000
2832,24.000000
2880,18.000000
2928,17.000000
2976,17.000000
3024,18.000000
3072,16.000000
3120,18.000000
3168,17.000000
3216,18.000000
3264,18.000000
3312,18.000000
3360,21.000000
3408,19.000000
3456,19.000000
3504,20.000000
3552,19.000000
3600,20.000000
3648,23.000000
3696,28.000000
3744,20.000000
3792,29.000000
3840,36.000000
3888,38.000000
3936,33.000000
3984,29.000000
4032,25.000000
4080,27.000000
4128,32.000000
4176,28.000000
4224,29.000000
4272,29.000000
4320,37.000000
4368,25.000000
4416,25.000000
4464,27.000000
4512,26.000000
4560,26.000000
4608,29.000000
4656,44.000000
4704,38.000000
4752,32.000000
