n,time
100,0
200,0
300,1
400,2
500,2
600,4
700,4
800,4
900,5
1000,6
1100,16
1200,7
1300,7
1400,6
1500,7
1600,12
1700,18
1800,11
1900,13
2000,11
2100,13
2200,18
2300,22
2400,32
2500,19
2600,24
2700,25
2800,18
2900,23
3000,23
3100,18
3200,23
3300,22
3400,21
3500,21
3600,22
3700,26
3800,21
3900,25
4000,28
4100,24
4200,28
4300,36
4400,31
4500,35
4600,32
4700,27
4800,34
4900,35
5000,30
5100,30
5200,31
5300,30
5400,43
5500,80
5600,34
5700,34
5800,56
5900,41
6000,51
6100,53
6200,213
6300,51
6400,38
6500,47
6600,41
6700,41
6800,41
6900,84
7000,45
7100,99
7200,63
7300,81
7400,108
7500,72
7600,105
7700,92
7800,77
7900,150
8000,113
8100,74
8200,110
8300,56
8400,66
8500,57
8600,68
8700,50
8800,58
8900,56
9000,55
9100,124
9200,78
9300,72
9400,85
9500,61
9600,85
9700,76
9800,70
9900,68
